city,state_code,county,primary_zips,avg_delivery_eta_hours,cutoff_time,permit_required,permit_url,permit_notes,transfer_station_name,transfer_station_address,transfer_station_hours,disallowed_items_deltas,busy_seasons_events,neighborhoods_served,real_job_examples,local_testimonials,price_notes,winter_notes,hoa_common_rule,adjacent_cities,latitude,longitude,phone_cta,sms_cta,quote_url,__parsed_extra
Midvale,UT,Salt Lake,84047,4,15:00,true,,Street placement may require a right-of-way/encroachment permit. Verify with Midvale City.,Trans-Jordan Landfill,10873 S 7200 W," South Jordan"," UT 84095",Mon–Sat 7:00am–6:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Spring cleanup and summer construction surge; fall yard waste season,Old Town Midvale; Jordan Bluffs; Bingham Junction; Union Park area; Fort Union; Winchester Hills; 84047 core,Driveway 20yd for basement cleanout near Fort Union; 30yd roofing tear-off by Jordan Bluffs; 10yd garage purge in Old Town,"""TNT made it easy—drop-off same day and picked up exactly when we were done."" – Sarah M., Midvale; ""Professional and fair pricing."" – Dan R., Bingham Junction",Transparent local pricing; weight included up to standard tons per size,Plow pile placement guidance; salt tracking mats on request; avoid placing on soft snow,Most HOAs require board notice for street placement; driveway is usually fine,Murray|Sandy|Cottonwood Heights,40.6111,"-111.8999,801-209-9013,801-209-9013,https://tntdump.com/quote"
Herriman,UT,Salt Lake,84096,6,14:00,true,,Street placement may require a right-of-way/encroachment permit. Verify with Herriman City.,Trans-Jordan Landfill,10873 S 7200 W," South Jordan"," UT 84095",Mon–Sat 7:00am–6:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Parade of Homes season; spring yard cleanup; summer builds,Rosecrest; Anthem; Herriman Towne Center; Juniper Canyon; Silvercrest; 84096 hillside,20yd for kitchen remodel in Rosecrest; 30yd new build debris in Anthem; 10yd yard waste off Juniper Canyon,"""Prompt delivery up the hill and careful placement—zero damage."" – Kelli P., Herriman; ""Great price and communication."" – Trevor S., 84096",Flat rate includes delivery," pickup"," and disposal up to included weight; overages billed by ton",Winter incline safety: chock wheels and avoid steep icy grades; flexible pickup windows,Most HOAs require a 48-hour notice for visible street placement; ask management,"Riverton|South Jordan|Bluffdale,40.5141,-112.0329,801-209-9013,801-209-9013,https://tntdump.com/quote"
Bountiful,UT,Davis,84010,4,15:00,false,,Driveway placements typically do not require permits; check with Bountiful City for any right-of-way rules for street placement.,Wasatch Integrated Waste Management District,1997 E 3500 N," Layton"," UT 84040",Mon–Sat 7:00am–5:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Spring cleanups; summer remodels; fall yard waste,Val Verda; Mueller Park; Bountiful Heights; Orchard; Downtown Bountiful; East Bench; Stone Ridge,,,Transparent local pricing; weight included up to standard tons per size,Winter foothill conditions: avoid steep icy grades; use boards on soft driveways,Many HOAs request notice for visible street placement; driveway usually fine,Centerville|North Salt Lake|Woods Cross,40.8894,"-111.8808,801-209-9013,801-209-9013,https://tntdump.com/quote"
Centerville,UT,Davis,84014,4,15:00,false,,Driveway placements typically do not require permits; check Centerville City for ROW rules if placing in the street.,Wasatch Integrated Waste Management District,1997 E 3500 N," Layton"," UT 84040",Mon–Sat 7:00am–5:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Spring cleanups; summer remodels; fall yard waste,Parrish; Deuel Creek; Smoot Park area; Island View; Centerville Heights; Porter Lane corridor,,,Transparent pricing with included weight; overages per ton,Winter bench roads may be icy; use boards on soft driveways,Most HOAs request notice for visible street placement,Farmington|Bountiful|Woods Cross,40.918,"-111.872,801-209-9013,801-209-9013,https://tntdump.com/quote"
Clearfield,UT,Davis,84015,5,15:00,false,,Driveway placements usually do not require permits; confirm with Clearfield City for any street/ROW requirements.,Wasatch Integrated Waste Management District,1997 E 3500 N," Layton"," UT 84040",Mon–Sat 7:00am–5:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Spring move-outs; summer projects; fall yard debris,Downtown Clearfield; Kiwanis Park area; Freeport Center; Steed Park; Clearfield Station,,,Flat-rate includes delivery," pickup"," and disposal up to included weight",Winter inversions can affect routing windows; flexible pickups available,Typical HOAs allow driveway placement; ask management for street guidance,"Clinton|Layton|Syracuse,41.106,-112.026,801-209-9013,801-209-9013,https://tntdump.com/quote"
Clinton,UT,Davis,84015,5,15:00,false,,Driveway placements typically do not require permits; check with the city if placing in the street.,Wasatch Integrated Waste Management District,1997 E 3500 N," Layton"," UT 84040",Mon–Sat 7:00am–5:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Spring yard cleanup; summer remodels; HOA cleanups,Meadowbrook; Cranefield; Clinton Park area; West Clinton; 1800 N corridor,,,Transparent local pricing; overage/day fees disclosed up front,Winter conditions may require boards; avoid soft lawns,Most HOAs request notice for visible street placement,Clearfield|Syracuse|West Point,41.139,"-112.05,801-209-9013,801-209-9013,https://tntdump.com/quote"
Farmington,UT,Davis,84025,4,15:00,false,,Driveway placements usually do not require permits; verify with Farmington City for ROW rules if placing in the street.,Wasatch Integrated Waste Management District,1997 E 3500 N," Layton"," UT 84040",Mon–Sat 7:00am–5:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Event surges near Station Park/Lagoon; seasonal yard waste,Station Park area; Oakridge; Shepherd Creek; East Bench; Lagoon/park area,,,Transparent pricing; included weight by size; overages per ton,Winter bench roads and hills require caution; flexible pickup windows,HOAs may require notice/placement guidance for visible containers,Centerville|Kaysville|Fruit Heights,40.98,"-111.887,801-209-9013,801-209-9013,https://tntdump.com/quote"
Hooper,UT,Weber,84315,6,14:00,false,,Driveway placements typically do not require permits; check Weber County/Hooper City if using street/right-of-way.,Weber County Transfer Station,867 W Wilson Ln," Ogden"," UT 84401",Mon–Sat 7:00am–5:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Spring cleanups; agricultural debris; summer remodels,Hooper Estates; Country fields; 5500 W corridor; Lakeside area; West Point border,,,Transparent local pricing; weight included up to standard tons,Winter rural roads can be slick; plan for safe access,Most HOAs allow driveway placement; confirm for street placements,West Point|Clinton|Roy,41.163,"-112.119,801-209-9013,801-209-9013,https://tntdump.com/quote"
Kaysville,UT,Davis,84037,4,15:00,false,,Driveway placements usually do not require permits; check Kaysville City ROW rules for any on-street placement.,Wasatch Integrated Waste Management District,1997 E 3500 N," Layton"," UT 84040",Mon–Sat 7:00am–5:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Spring cleanups; summer remodels; fall yard waste,Barnes Park area; Old Town Kaysville; East Bench; Brookhaven; Davis High area,,,Transparent pricing with included weight; overages per ton,Winter bench roads may be icy; use boards on soft driveways,Most HOAs request notice for visible street placement,Layton|Farmington|Fruit Heights,41.0352,"-111.9388,801-209-9013,801-209-9013,https://tntdump.com/quote"
Layton,UT,Davis,84041|84040,5,15:00,false,,Driveway placements typically do not require permits; verify Layton City rules for ROW/encroachment if using street.,Wasatch Integrated Waste Management District,1997 E 3500 N," Layton"," UT 84040",Mon–Sat 7:00am–5:00pm; Sun Closed,No dirt/rock/concrete in mixed loads; no paints," oils"," or hazardous waste.",Spring move-outs; summer projects; fall yard waste,Downtown Layton; East Bench; Sun Hills; Gentile St corridor; Hill Field area,,,Flat-rate includes delivery/pickup and disposal up to included weight,Winter inversions and storms can affect afternoon routes,Most HOAs allow driveway placement; ask management for street guidance,Kaysville|Clearfield|Syracuse,41.0602,"-111.9711,801-209-9013,801-209-9013,https://tntdump.com/quote"
